nickname,name,nationality,team,total_kills,headshot_%,total_deaths,kills/deaths,damage/round,grenade_dmg/round,maps_played,rounds_played,kills/round,assists/round,deaths/round,saved_by_teammate/round,saved_teammates/round,rating
queztone,Richard Strnátko,Slovakia,Sampi,12726.0,44.4,12525.0,01.02,77.0,3.1,689.0,18006.0,0.71,0.14,0.7,0.1,0.1,01.02
roseau,Baskoro Dwi Putra,Indonesia,No team,7419.0,40.4,7300.0,01.02,78.1,3.0,412.0,10376.0,0.72,0.15,0.7,0.11,0.11,01.02
roca,Daniel Gustaferri,United States,No team,12336.0,51.4,12141.0,01.02,76.4,3.0,660.0,17324.0,0.71,0.13,0.7,0.1,0.11,01.02
delboNi,Felipe Delboni,Brazil,ex-Imperial,8763.0,44.8,8450.0,01.04,74.8,3.5,493.0,12737.0,0.69,0.13,0.66,0.1,0.11,01.05
arT,Andrei Piovezan,Brazil,FURIA,17046.0,34.3,16796.0,01.01,78.3,3.7,921.0,23908.0,0.71,0.14,0.7,0.1,0.07,1.1
flickz,Sam Jones,Australia,No team,7976.0,48.3,7619.0,01.05,79.0,5.3,461.0,11606.0,0.69,0.16,0.66,0.08,0.08,01.09
glowiing,Aleksandr Matsievich,Russia,1WIN,7736.0,55.4,7675.0,01.01,79.5,4.6,411.0,10868.0,0.71,0.13,0.71,0.1,0.1,01.08
Jyo,Rassim Valijev,Estonia,Nemiga,20456.0,40.8,19496.0,01.05,74.8,5.5,1121.0,29988.0,0.68,0.13,0.65,0.1,0.09,01.07
EasTor,Rajohn Linato,Spain,OFFSET,8692.0,28.4,8305.0,01.05,68.8,2.7,481.0,12797.0,0.68,0.09,0.65,0.1,0.1,01.01
chrisJ,Chris de Jong,Netherlands,No team,31011.0,41.5,29926.0,01.04,70.1,3.3,1727.0,45400.0,0.68,0.11,0.66,0.1,0.08,01.01
aproto,Alex Protopapas,United States,No team,7153.0,57.8,7068.0,01.01,74.9,3.2,383.0,10053.0,0.71,0.11,0.7,0.1,0.13,01.05
1962,Gabriel Sinopoli,Argentina,Leviatan,10252.0,53.7,10221.0,1.0,76.9,3.8,557.0,14443.0,0.71,0.14,0.71,0.11,0.1,01.07
spyleadeR,Emiliyan Dimitrov,Bulgaria,No team,16729.0,42.3,16566.0,01.01,81.3,4.6,891.0,23002.0,0.73,0.18,0.72,0.1,0.08,01.01
bedonka,Harry Hayes,Australia,No team,6857.0,53.7,6734.0,01.02,76.8,4.1,379.0,9815.0,0.7,0.14,0.69,0.09,0.09,01.06
Voltage,Logan Long,United States,No team,7099.0,28.5,6590.0,01.08,67.4,2.9,420.0,10848.0,0.65,0.09,0.61,0.09,0.1,01.05
SHOCK,Max Kvapil,Czech Republic,SINNERS,10419.0,55.5,10020.0,01.04,73.0,3.6,577.0,15420.0,0.68,0.11,0.65,0.09,0.09,01.05
hampus,Hampus Poser,Sweden,NIP,24170.0,40.5,23889.0,01.01,80.0,4.1,1289.0,34315.0,0.7,0.15,0.7,0.08,0.08,01.01
jedqr,Grzegorz Jędras,Poland,Wisla Krakow,13322.0,53.7,12790.0,01.04,77.1,5.8,709.0,19300.0,0.69,0.15,0.66,0.1,0.1,01.08
kreaz,Rasmus Johansson,Sweden,Finest,11036.0,48.0,10519.0,01.05,75.7,4.4,615.0,16270.0,0.68,0.14,0.65,0.09,0.1,01.01
PlesseN,Niclas Plessen,Sweden,Savage,22217.0,54.7,21998.0,01.01,80.1,5.5,1172.0,31339.0,0.71,0.14,0.7,0.1,0.09,01.01
HUGHMUNGUS,Hugh Anderson,Australia,No team,13103.0,50.7,12622.0,01.04,74.6,4.8,740.0,19182.0,0.68,0.13,0.66,0.1,0.11,01.06
GruBy,Dominik Swiderski,Poland,UNGENTIUM,28743.0,42.6,28028.0,01.03,78.3,3.3,1565.0,41560.0,0.69,0.15,0.67,0.1,0.11,01.01
Stewie2K,Jake Yip,United States,Liquid,27014.0,49.4,26474.0,01.02,77.8,5.1,1481.0,38672.0,0.7,0.14,0.68,0.1,0.08,01.01
b0RUP,Johannes Borup,Denmark,MAD Lions,24193.0,63.8,23748.0,01.02,73.3,4.4,1330.0,35195.0,0.69,0.11,0.67,0.1,0.1,01.01
desi,Derek Branchen,United States,No team,7826.0,51.5,7727.0,01.01,75.6,2.9,430.0,10986.0,0.71,0.13,0.7,0.09,0.1,01.01
Kylar,Kacper Walukiewicz,Poland,MONKE,10541.0,59.0,10233.0,01.03,73.8,4.6,571.0,15386.0,0.69,0.12,0.67,0.1,0.11,01.05
byali,Paweł Bieliński,Poland,ex-Izako Boars,33420.0,51.7,32109.0,01.04,76.2,3.6,1826.0,47928.0,0.7,0.14,0.67,0.09,0.1,01.01
jR,Dmitriy Chervak,Ukraine,No team,15731.0,33.5,15080.0,01.04,71.8,3.3,866.0,23111.0,0.68,0.11,0.65,0.08,0.07,01.01
obj,Francisco Ramos,Portugal,SQUAD,7126.0,31.5,6701.0,01.06,70.0,2.8,409.0,10703.0,0.67,0.11,0.63,0.09,0.09,01.01
Maikelele,Mikail Bill,Sweden,No team,18850.0,37.0,17905.0,01.05,73.3,4.8,1067.0,28134.0,0.67,0.14,0.64,0.09,0.09,01.01
mitch,Mitch Semago,United States,No team,14179.0,44.4,13547.0,01.05,76.8,4.0,807.0,20719.0,0.68,0.14,0.65,0.1,0.11,01.01
Nodios,Magnus Olsen,Denmark,No team,12700.0,54.0,12228.0,01.04,75.8,5.1,697.0,18667.0,0.68,0.14,0.66,0.1,0.11,01.01
Zero,Patrik Žúdel,Slovakia,GamerLegion,17284.0,49.1,16370.0,01.06,72.1,2.5,966.0,25617.0,0.67,0.12,0.64,0.09,0.11,01.01
Viva,Lifan Ran,China,Invictus,10394.0,45.9,9923.0,01.05,71.8,2.7,585.0,15525.0,0.67,0.12,0.64,0.1,0.11,01.06
tatazin,Alef Pereira,Brazil,Los Grandes,12715.0,46.4,11769.0,01.08,69.9,3.2,746.0,19564.0,0.65,0.11,0.6,0.08,0.09,01.05
Noobster,Andy Zhang,Australia,No team,8741.0,34.5,8534.0,01.02,73.2,4.0,495.0,12785.0,0.68,0.12,0.67,0.09,0.09,01.01
xCeeD,Jack Holiman,United States,Triumph,7150.0,43.9,7023.0,01.02,75.2,2.9,398.0,10306.0,0.69,0.13,0.68,0.12,0.11,01.07
leo_drk,Leonardo Oliveira,Brazil,00Nation,9794.0,51.1,9697.0,01.01,77.6,4.4,545.0,13964.0,0.7,0.14,0.69,0.11,0.1,01.08
grux,Denis Gutaj,Sweden,Savage,7871.0,67.4,7642.0,01.03,73.8,2.8,425.0,11313.0,0.7,0.1,0.68,0.1,0.11,01.04
ayaya,YangYang Zheng,China,Wings Up,8275.0,40.3,8160.0,01.01,78.2,2.7,458.0,11590.0,0.71,0.14,0.7,0.09,0.09,01.01
reatz,Paweł Jańczak,Poland,PACT,27092.0,51.6,26318.0,01.03,74.1,2.8,1463.0,39290.0,0.69,0.12,0.67,0.1,0.11,01.01
shokz,Kristjan Jakobson,Estonia,Finest,9472.0,54.2,9234.0,01.03,75.5,3.6,526.0,13932.0,0.68,0.12,0.66,0.08,0.09,01.06
mirbit,Sabit Coktasar,Germany,Nordavind,15351.0,44.0,14425.0,01.06,73.5,5.7,866.0,23162.0,0.66,0.13,0.62,0.09,0.09,01.06
Lack1,Viktor Boldyrev,Kazakhstan,Entropiq,14803.0,45.7,14565.0,01.02,74.4,2.8,802.0,21398.0,0.69,0.13,0.68,0.09,0.09,01.05
Friis,Michael Jørgensen,Denmark,No team,16356.0,26.3,15609.0,01.05,69.4,2.4,938.0,24254.0,0.67,0.11,0.64,0.09,0.08,01.01
dazzLe,Will Loafman,United States,No team,12753.0,42.0,12761.0,1.0,80.9,3.5,690.0,17971.0,0.71,0.16,0.71,0.1,0.09,01.08
zqkS,Caio Fonseca,Brazil,ex-Imperial,12484.0,28.9,11763.0,01.06,69.9,3.7,729.0,18817.0,0.66,0.12,0.63,0.1,0.09,01.01
kalinka,Nikolaj Rysakov,Lithuania,No team,16112.0,52.8,15955.0,01.01,76.6,3.8,855.0,22891.0,0.7,0.12,0.7,0.09,0.09,01.01
HexT,Jadan Postma,Canada,RBG,6998.0,50.8,6880.0,01.02,76.9,4.8,376.0,9979.0,0.7,0.14,0.69,0.13,0.13,01.08
Jinxx,Chris Moseley,Australia,No team,7054.0,52.7,6771.0,01.04,72.3,3.8,400.0,10511.0,0.67,0.12,0.64,0.1,0.13,01.04
to1nou,Antoine Pirard,Belgium,FiveG,15196.0,30.5,14676.0,01.04,68.8,2.2,850.0,22377.0,0.68,0.1,0.66,0.09,0.1,01.01
Tsogoo,Tsog Mashbat,Mongolia,Mazaalai,8315.0,52.9,8158.0,01.02,77.5,3.4,461.0,11774.0,0.71,0.14,0.69,0.1,0.11,01.01
DickStacy,Ollie Tierney,Australia,No team,10534.0,48.9,10188.0,01.03,73.5,4.5,624.0,15708.0,0.67,0.15,0.65,0.11,0.09,01.08
DESPE,Çağatay Sedef,Turkey,No team,8068.0,29.8,7748.0,01.04,68.7,2.5,468.0,12127.0,0.67,0.11,0.64,0.08,0.08,01.01
kioShiMa,Fabien Fiey,France,No team,26259.0,51.3,24967.0,01.05,74.0,5.2,1495.0,39250.0,0.67,0.15,0.64,0.08,0.09,01.01
b0denmaster,Jonathan Bodenmalm,Sweden,Lilmix,7292.0,34.9,7089.0,01.03,73.0,4.9,402.0,10750.0,0.68,0.11,0.66,0.09,0.08,01.06
ALLE,Alexandre Santos,Brazil,Isurus,6671.0,49.6,6501.0,01.03,77.7,5.7,367.0,9739.0,0.68,0.15,0.67,0.1,0.11,01.08
speed4k,Anton Titov,Russia,FreeTON,13678.0,39.2,13110.0,01.04,69.9,2.9,767.0,20579.0,0.66,0.11,0.64,0.09,0.09,01.05
MINISE,Jacek Jeziak,Poland,PACT,34271.0,39.7,33639.0,01.02,74.0,4.9,1851.0,49353.0,0.69,0.12,0.68,0.08,0.07,01.01
FugLy,Jacob Medina,United States,No team,18921.0,43.4,18300.0,01.03,73.5,3.5,1083.0,28153.0,0.67,0.13,0.65,0.1,0.11,01.01
emagine,Chris Rowlands,Australia,No team,12837.0,45.9,12350.0,01.04,73.6,4.8,751.0,18931.0,0.68,0.14,0.65,0.1,0.09,01.01
Polt,Vadim Tsyrov,Russia,1WIN,9270.0,49.2,8853.0,01.05,77.7,3.5,510.0,13490.0,0.69,0.14,0.66,0.08,0.09,01.07
Nifty,Noah Francis,United States,No team,15336.0,36.3,15026.0,01.02,70.2,3.2,865.0,22686.0,0.68,0.09,0.66,0.1,0.09,01.01
nitr0,Nick Cannella,United States,Liquid,23371.0,44.3,22695.0,01.03,72.0,4.9,1323.0,34476.0,0.68,0.14,0.66,0.11,0.1,1.0
waterfaLLZ,Nikita Matveyev,Russia,AVE,15750.0,27.2,15461.0,01.02,72.9,3.3,864.0,22865.0,0.69,0.12,0.68,0.09,0.08,1.0
pounh,Eimantas Lazickas,Lithuania,No team,7289.0,49.5,7198.0,01.01,75.9,2.1,401.0,10552.0,0.69,0.13,0.68,0.09,0.09,01.04
innocent,Paweł Mocek,Poland,Anonymo,30808.0,46.0,30242.0,01.02,77.0,5.1,1690.0,44467.0,0.69,0.15,0.68,0.09,0.09,1.0
siuhy,Kamil Szkaradek,Poland,MOUZ NXT,8069.0,53.6,8063.0,1.0,77.7,4.3,431.0,11551.0,0.7,0.13,0.7,0.1,0.08,01.06
SZPERO,Grzegorz Dziamałek,Poland,Wisla Krakow,35247.0,33.1,34241.0,01.03,72.7,3.3,1950.0,51566.0,0.68,0.12,0.66,0.08,0.07,1.0
Relyks,Skyler Weaver,United States,No team,14589.0,48.8,14428.0,01.01,73.9,5.6,832.0,21258.0,0.69,0.12,0.68,0.1,0.1,1.0
bubble,Kamen Kostadinov,Bulgaria,SKADE,35924.0,41.3,34610.0,01.04,74.8,4.9,2034.0,53233.0,0.67,0.15,0.65,0.1,0.1,1.0
fenvicious,Evgeny Mitsik,Russia,ASAP,13225.0,52.7,13084.0,01.01,75.7,2.4,729.0,19059.0,0.69,0.12,0.69,0.09,0.09,1.0
R0b3n,Roberts Čigauskis,Latvia,Storm Wolves,9420.0,49.8,9174.0,01.03,74.5,3.0,525.0,13824.0,0.68,0.12,0.66,0.09,0.1,01.04
mopoz,Alejandro Fernández-Quejo Cano,Spain,Movistar Riders,19203.0,51.6,19153.0,1.0,76.0,4.8,1061.0,28165.0,0.68,0.13,0.68,0.09,0.07,1.0
glace,Nicolai Jensen,Denmark,No team,10395.0,52.2,10029.0,01.04,74.4,4.1,589.0,15307.0,0.68,0.14,0.66,0.09,0.1,1.0
truth,Erik Hansen Dyrnes,Norway,No team,7996.0,52.0,7902.0,01.01,75.7,3.1,430.0,11505.0,0.7,0.12,0.69,0.09,0.1,1.0
Oderus,Chad Miller,United States,No team,8738.0,34.3,8790.0,0.99,72.3,1.8,473.0,12356.0,0.71,0.09,0.71,0.1,0.1,01.04
1uke,Aleksey Zimin,Russia,No team,11017.0,26.4,10794.0,01.02,71.6,2.2,623.0,16179.0,0.68,0.09,0.67,0.08,0.07,1.0
Edward,Ioann Sukhariev,Ukraine,No team,26683.0,51.1,25994.0,01.03,72.0,2.9,1473.0,38787.0,0.69,0.13,0.67,0.09,0.09,1.0
ableJ,Rinaldo Moda Junior,Brazil,No team,6352.0,50.8,6053.0,01.05,72.1,3.9,372.0,9544.0,0.67,0.13,0.63,0.1,0.09,01.05
dzt,Denis Fischer,Brazil,No team,11845.0,46.4,11676.0,01.01,75.7,3.7,665.0,17229.0,0.69,0.13,0.68,0.1,0.09,1.0
hazed,James Cobb,United States,No team,13273.0,49.8,13354.0,0.99,78.3,4.1,736.0,19138.0,0.69,0.15,0.7,0.09,0.08,1.0
DeathZz,Raúl Jordán Nieto,Spain,Movistar Riders,7816.0,49.9,7650.0,01.02,75.3,3.3,436.0,11642.0,0.67,0.13,0.66,0.09,0.1,01.04
almazer,Almaz Asadullin,Russia,No team,23468.0,51.9,22888.0,01.03,74.3,4.1,1302.0,35000.0,0.67,0.13,0.65,0.1,0.09,01.06
kenzor,Leonard Volodarchuk,Ukraine,GUESS,10785.0,54.8,10728.0,01.01,76.6,2.6,598.0,15627.0,0.69,0.13,0.69,0.1,0.11,01.05
xiaosaGe,Peng Song,China,Steel Helmet,15543.0,47.6,15517.0,1.0,80.0,5.2,840.0,22136.0,0.7,0.16,0.7,0.11,0.1,01.08
cbbk,Thotsaphon Suphatthanaphalaphon,Thailand,No team,7029.0,51.2,6866.0,01.02,75.6,4.3,404.0,10342.0,0.68,0.15,0.66,0.1,0.1,01.06
KILLDREAM,Joao Ferreira,Portugal,No team,7851.0,44.2,7867.0,1.0,81.9,3.4,429.0,11159.0,0.7,0.16,0.7,0.1,0.11,1.0
Basso,Sebastian Aagaard,Denmark,SERA,10081.0,53.0,9816.0,01.03,70.1,3.5,582.0,15218.0,0.66,0.1,0.65,0.09,0.1,1.0
RoLEX,Warittorn Kalanukarn,Thailand,No team,8834.0,51.2,8801.0,1.0,78.6,3.2,492.0,12610.0,0.7,0.14,0.7,0.09,0.09,01.06
zeff,Min-Seok Park,Korea,No team,8381.0,42.0,8327.0,01.01,77.8,4.9,482.0,12229.0,0.69,0.17,0.68,0.13,0.11,1.0
cromen,Jorgen Robertsen,Norway,No team,11785.0,52.8,11718.0,01.01,74.0,3.6,653.0,17335.0,0.68,0.13,0.68,0.11,0.11,1.0
adreN,Eric Hoag,United States,Liquid,12259.0,35.3,11879.0,01.03,76.5,5.7,697.0,18241.0,0.67,0.15,0.65,0.1,0.12,1.0
Jerry,Andrey Mekhryakov,Russia,forZe,26934.0,45.9,26520.0,01.02,76.7,4.2,1461.0,39334.0,0.68,0.14,0.67,0.1,0.09,01.07
MODDII,Andreas Fridh,Sweden,No team,20574.0,52.4,20166.0,01.02,74.6,3.6,1169.0,30527.0,0.67,0.13,0.66,0.08,0.08,1.0
void,Cooper Farrell,Australia,No team,7854.0,40.0,7727.0,01.02,74.1,2.8,437.0,11368.0,0.69,0.13,0.68,0.1,0.11,01.03
pyth,Jacob Mourujärvi,Sweden,No team,13677.0,56.0,13682.0,1.0,70.3,4.1,756.0,19801.0,0.69,0.13,0.69,0.1,0.1,1.0
mds,Aleksandr Rubets,Belarus,No team,19543.0,53.4,19084.0,01.02,72.6,2.8,1087.0,29074.0,0.67,0.11,0.66,0.09,0.09,01.04
supra,Anton Tšernobai,Estonia,GORILLAZ,9439.0,57.9,9376.0,01.01,72.9,5.4,530.0,14221.0,0.66,0.12,0.66,0.1,0.1,01.05
STYKO,Martin Styk,Slovakia,Apeks,25267.0,57.4,24857.0,01.02,74.7,5.1,1431.0,37700.0,0.67,0.14,0.66,0.09,0.09,1.0
reversive,Roberto Themtham,Argentina,Leviatan,10519.0,43.6,10323.0,01.02,75.7,4.5,594.0,15490.0,0.68,0.14,0.67,0.1,0.1,1.0
cam,Cameron Kern,United States,No team,9454.0,50.8,9285.0,01.02,75.3,5.4,544.0,13974.0,0.68,0.15,0.66,0.12,0.12,01.06
Noktse,Nicolás Dávila,Argentina,Isurus,12892.0,38.8,12632.0,01.02,74.2,4.6,733.0,19154.0,0.67,0.13,0.66,0.09,0.08,01.06
peet,Piotr Ćwikliński,Poland,No team,6788.0,34.0,6691.0,01.01,71.0,2.1,379.0,9993.0,0.68,0.12,0.67,0.1,0.1,1.0
pecks,Peter Nguyen,Australia,No team,6620.0,45.9,6458.0,01.03,72.4,4.4,389.0,9930.0,0.67,0.14,0.65,0.09,0.08,1.0
ImpressioN,Anthony Lim,Singapore,NKT,11383.0,48.8,11321.0,01.01,77.0,4.1,641.0,16601.0,0.69,0.15,0.68,0.1,0.11,1.0
ALEX,Alex McMeekin,United Kingdom,fnatic,20286.0,47.5,20558.0,0.99,76.5,3.4,1096.0,29021.0,0.7,0.13,0.71,0.1,0.09,1.0
vice,Daniel Kim,United States,No team,8668.0,49.4,8540.0,01.01,75.9,3.1,493.0,12707.0,0.68,0.14,0.67,0.12,0.11,1.0
Bååten,Linus Andersson,Sweden,No team,13293.0,56.5,13254.0,1.0,74.1,3.7,738.0,19661.0,0.68,0.12,0.67,0.1,0.11,1.0
SIXER,Christophe Xia,France,Ambush,18301.0,39.3,17492.0,01.05,69.7,2.7,1061.0,27930.0,0.66,0.11,0.63,0.09,0.1,1.0
xelos,Jerry Råberg,Sweden,Lemondogs,7776.0,48.3,7750.0,1.0,76.8,5.7,426.0,11262.0,0.69,0.15,0.69,0.08,0.08,1.0
xseveN,Sami Laasanen,Finland,HAVU,22125.0,46.2,21841.0,01.01,78.5,6.0,1241.0,32775.0,0.68,0.16,0.67,0.09,0.09,1.0
kory,Kornél Szedlár,Hungary,Sangal,7717.0,54.9,7778.0,0.99,77.6,4.1,412.0,10985.0,0.7,0.14,0.71,0.11,0.11,01.07
Daffu,Jakob Schildt,Denmark,ECSTATIC,10388.0,52.1,10147.0,01.02,74.0,4.6,583.0,15509.0,0.67,0.14,0.65,0.12,0.13,01.05
robiin,Robin Sjögren,Sweden,No team,27448.0,48.0,27475.0,1.0,80.2,8.6,1498.0,39911.0,0.69,0.17,0.69,0.11,0.1,0.99
freakazoid,Ryan Abadir,United States,No team,15481.0,46.7,15481.0,1.0,77.8,4.4,871.0,22342.0,0.69,0.15,0.69,0.11,0.1,0.99
freddieb,Fredrik Buö,Sweden,No team,20728.0,52.9,20548.0,01.01,77.0,4.2,1135.0,30119.0,0.69,0.14,0.68,0.09,0.09,0.99
SEMPHIS,Kory Friesen,Canada,No team,15472.0,36.5,15505.0,1.0,73.6,3.1,848.0,21936.0,0.71,0.14,0.71,0.1,0.1,0.99
dephh,Rory Jackson,United Kingdom,No team,14252.0,47.6,14484.0,0.98,80.6,4.9,768.0,20106.0,0.71,0.16,0.72,0.11,0.1,0.99
uli,Samu Leirilaakso,Finland,KOVA,9031.0,48.7,8893.0,01.02,76.1,4.9,499.0,13330.0,0.68,0.13,0.67,0.09,0.1,0.99
YDNA,Andrew Adams,Australia,rewound,7636.0,38.9,7533.0,01.01,71.0,2.9,435.0,11265.0,0.68,0.11,0.67,0.09,0.1,01.03
gMd,Anthony Guimond,Canada,No team,8389.0,53.5,8436.0,0.99,75.4,3.5,464.0,12098.0,0.69,0.14,0.7,0.11,0.11,01.05
markeloff,Yegor Markelov,Ukraine,No team,19780.0,41.6,19292.0,01.03,74.3,5.0,1143.0,29624.0,0.67,0.15,0.65,0.08,0.09,0.99
Puls3,Reece Marrs,United Kingdom,Max&BigGarlicDips,7860.0,43.3,7786.0,01.01,74.7,3.8,436.0,11572.0,0.68,0.15,0.67,0.11,0.12,0.99
neptune,Jason Tran,United States,No team,9091.0,55.4,9114.0,1.0,74.8,3.1,498.0,13218.0,0.69,0.13,0.69,0.11,0.1,01.04
rbz,Daniel Urbani,Australia,No team,11278.0,48.9,11140.0,01.01,73.3,4.3,647.0,16903.0,0.67,0.13,0.66,0.09,0.1,0.99
BENDJI,Benjamin Söderena,Sweden,Deportivo,16055.0,32.5,15918.0,01.01,75.4,5.3,878.0,23318.0,0.69,0.14,0.68,0.1,0.1,0.99
JIaYm,Nikita Panyushkin,Russia,GMT,9343.0,52.6,9592.0,0.97,79.4,4.2,483.0,13087.0,0.71,0.14,0.73,0.1,0.1,01.05
jaxi,Costin Vrînceanu,Romania,No team,8103.0,40.5,7920.0,01.02,73.7,2.9,472.0,12125.0,0.67,0.14,0.65,0.09,0.11,0.99
BARBARR,André Möller,Sweden,No team,15776.0,42.7,15796.0,1.0,74.8,3.9,876.0,23180.0,0.68,0.13,0.68,0.09,0.09,0.99
JACKZ,Audric Jug,France,G2,18102.0,58.3,18171.0,1.0,74.6,3.4,1010.0,26769.0,0.68,0.13,0.68,0.1,0.1,0.99
VINI,Vinicius Figueiredo,Brazil,Last Dance,15855.0,49.1,15894.0,1.0,73.6,4.1,916.0,23835.0,0.67,0.13,0.67,0.1,0.09,01.04
WOOD7,Adriano Cerato,Brazil,MIBR,8024.0,31.2,7716.0,01.04,72.6,5.8,465.0,12132.0,0.66,0.12,0.64,0.08,0.08,01.05
isak,Isak Fahlén,Sweden,GamerLegion,8535.0,49.7,8477.0,01.01,73.9,5.3,476.0,12845.0,0.66,0.14,0.66,0.1,0.1,01.04
J1rah,Jireh Youakim,Australia,ORDER,12654.0,46.1,12576.0,01.01,73.1,4.6,732.0,18956.0,0.67,0.13,0.66,0.1,0.08,01.04
gla1ve,Lukas Rossander,Denmark,Astralis,27462.0,46.5,27112.0,01.01,75.4,6.2,1572.0,41259.0,0.67,0.17,0.66,0.1,0.08,0.99
sXe,Cristian Niță,Romania,No team,9753.0,43.0,9787.0,1.0,74.6,3.0,558.0,14440.0,0.68,0.14,0.68,0.1,0.1,0.99
solo,Keun-Chul Kang,Korea,No team,6338.0,47.0,6248.0,01.01,75.2,4.9,369.0,9364.0,0.68,0.12,0.67,0.08,0.08,01.04
raalz,Rasmus Steensborg,Denmark,Sprout,14416.0,58.5,14456.0,1.0,72.9,5.1,798.0,21501.0,0.67,0.12,0.67,0.1,0.11,0.99
Dima,Dmitriy Bandurka,Russia,No team,23782.0,52.5,24309.0,0.98,77.4,4.0,1310.0,34466.0,0.69,0.14,0.71,0.11,0.1,0.99
ANGE1,Kirill Karasiow,Ukraine,No team,31392.0,51.3,32077.0,0.98,80.1,5.0,1728.0,45027.0,0.7,0.17,0.71,0.1,0.07,0.99
Vegi,Arek Nawojski,Poland,ex-Izako Boars,13519.0,47.5,13721.0,0.99,77.2,3.7,711.0,19473.0,0.69,0.14,0.7,0.1,0.1,01.04
kaboose,Jake McDonald,United States,No team,10006.0,54.9,10311.0,0.97,76.1,2.4,549.0,14235.0,0.7,0.12,0.72,0.11,0.11,0.99
facecrack,Dmitriy Alekseyev,Russia,DNG,31273.0,48.4,32000.0,0.98,77.6,3.2,1682.0,44893.0,0.7,0.14,0.71,0.1,0.09,0.99
Drone,Taylor Johnson,United States,No team,8164.0,61.8,8332.0,0.98,75.2,3.9,454.0,11841.0,0.69,0.13,0.7,0.12,0.11,0.99
MUTiRiS,Christopher Fernandes,Portugal,SAW,19976.0,51.0,19958.0,1.0,78.0,5.6,1111.0,29036.0,0.69,0.15,0.69,0.1,0.1,0.99
krii,Kristaps Bricis,Latvia,Daugava,7051.0,49.0,7046.0,1.0,74.2,3.2,398.0,10522.0,0.67,0.14,0.67,0.1,0.12,0.99
Dosia,Mihail Stolyarov,Russia,No team,25227.0,48.1,24934.0,01.01,73.9,5.5,1431.0,37517.0,0.67,0.15,0.66,0.08,0.08,0.99
Furlan,Damian Kislowski,Poland,AGO,36647.0,53.1,37072.0,0.99,76.3,5.2,2029.0,53957.0,0.68,0.14,0.69,0.1,0.09,0.99
vanity,Anthony Malaspina,United States,No team,10461.0,41.8,10381.0,01.01,74.0,4.6,609.0,15688.0,0.67,0.13,0.66,0.1,0.09,01.06
realziN,Antonio Oliveira,Brazil,No team,8986.0,50.0,8940.0,01.01,73.5,5.7,516.0,13634.0,0.66,0.14,0.66,0.11,0.09,01.06
fitch,Bektiyar Bahytov,Kazakhstan,Golden Knights,10410.0,52.6,10620.0,0.98,77.9,4.9,574.0,15207.0,0.68,0.15,0.7,0.09,0.08,0.99
gade,Nicklas Gade,Denmark,BIG,16756.0,53.6,16884.0,0.99,72.5,3.6,964.0,25326.0,0.66,0.12,0.67,0.1,0.1,0.99
morelz,Piotr Taterka,Poland,No team,18966.0,46.9,19242.0,0.99,76.8,3.2,1031.0,27393.0,0.69,0.14,0.7,0.08,0.08,0.99
SAGGERTON,Saku Jokinen,Finland,No team,9723.0,42.6,9954.0,0.98,75.4,4.6,540.0,14097.0,0.69,0.15,0.71,0.11,0.1,0.99
magixx,Boris Vorobiev,Russia,Spirit,9572.0,57.9,9424.0,01.02,69.8,3.6,562.0,14819.0,0.65,0.11,0.64,0.1,0.1,01.04
larsen,Sebastian Larsen,Denmark,Tricked,8429.0,30.4,8350.0,01.01,70.4,4.0,483.0,12689.0,0.66,0.1,0.66,0.09,0.07,0.99
Lukki,Lucas Pilheden,Denmark,No team,15622.0,51.2,15631.0,1.0,72.4,3.0,893.0,23437.0,0.67,0.13,0.67,0.12,0.12,0.99
AZR,Aaron Ward,Australia,EXTREMUM,19524.0,51.5,19699.0,0.99,74.4,3.9,1093.0,28528.0,0.68,0.14,0.69,0.11,0.11,0.99
Jonji,Jonathan Carey,Canada,Party Astronauts,17223.0,41.2,17607.0,0.98,80.3,6.3,963.0,24711.0,0.7,0.17,0.71,0.11,0.08,01.09
ryotzz,Leon Felipe,Brazil,No team,7922.0,37.2,8076.0,0.98,80.4,5.9,447.0,11613.0,0.68,0.18,0.7,0.1,0.09,01.08
DAVEY,David Stafford,Canada,No team,14126.0,41.3,14409.0,0.98,76.8,2.8,800.0,20694.0,0.68,0.14,0.7,0.08,0.08,0.99
bq,Adam Bergqvist,Sweden,Lilmix,6899.0,53.3,7056.0,0.98,74.7,3.2,373.0,10052.0,0.69,0.13,0.7,0.08,0.08,01.03
stellar,Brenden McGrath,United States,No team,7396.0,45.7,7370.0,1.0,76.2,4.3,427.0,10968.0,0.67,0.13,0.67,0.1,0.1,01.05
Xizt,Richard Landström,Sweden,Heroic,28491.0,46.8,27984.0,01.02,70.4,5.0,1665.0,42830.0,0.67,0.17,0.65,0.1,0.1,0.98
kwezz,Oliver Rasmussen,Denmark,Tricked,8403.0,55.8,8465.0,0.99,73.2,4.6,473.0,12655.0,0.66,0.11,0.67,0.09,0.09,01.01
k1to,Nils Gruhne,Germany,BIG,20864.0,57.9,21325.0,0.98,74.4,4.5,1153.0,30688.0,0.68,0.12,0.69,0.1,0.09,01.03
RUBINO,Ruben Villarroel,Norway,No team,17632.0,52.5,17802.0,0.99,71.7,2.3,998.0,26140.0,0.67,0.13,0.68,0.1,0.09,0.98
