nickname,name,nationality,team,total_kills,headshot_%,total_deaths,kills/deaths,damage/round,grenade_dmg/round,maps_played,rounds_played,kills/round,assists/round,deaths/round,saved_by_teammate/round,saved_teammates/round,rating
FL1T,Evgeny Lebedev,Russia,Virtus.pro,23330.0,47.0,20627.0,1.13,80.4,4.2,1178.0,31795.0,0.73,0.13,0.65,0.09,0.11,1.13
ShahZaM,Shahzeb Khan,United States,No team,18509.0,34.0,16451.0,1.13,74.8,2.4,966.0,25252.0,0.73,0.1,0.65,0.09,0.1,01.08
meyern,Ignacio Meyer,Argentina,Furious,7806.0,54.2,7082.0,1.1,77.2,3.4,411.0,10666.0,0.73,0.11,0.66,0.1,0.13,1.11
jayzaR,Aleksandar Zarkovic,Sweden,ex-Ambush,10382.0,36.3,9429.0,1.1,79.1,3.5,525.0,13870.0,0.75,0.12,0.68,0.09,0.1,01.08
ptr,Peter Gurney,United States,No team,20760.0,26.0,17994.0,1.15,73.5,3.4,1120.0,29335.0,0.71,0.11,0.61,0.09,0.1,01.08
Impulse,Aleksa Stankić,Serbia,4glory,13405.0,35.9,11911.0,1.13,76.1,3.7,702.0,18581.0,0.72,0.12,0.64,0.1,0.11,1.12
shox,Richard Papillon,France,Liquid,37691.0,48.9,33768.0,1.12,75.8,2.9,1953.0,51231.0,0.74,0.12,0.66,0.08,0.08,01.08
autimatic,Timothy Ta,United States,No team,21839.0,44.1,19561.0,1.12,79.6,3.7,1122.0,29309.0,0.75,0.13,0.67,0.1,0.1,01.08
trk,Alencar Rossato,Brazil,No team,14005.0,48.1,12558.0,1.12,80.1,5.0,730.0,19123.0,0.73,0.15,0.66,0.12,0.13,1.15
MICHU,Michał Müller,Poland,MAD Lions,32421.0,50.4,29537.0,1.1,80.3,3.7,1656.0,43414.0,0.75,0.13,0.68,0.09,0.1,01.08
NaToSaphiX,Niels Christian Sillassen,Denmark,No team,17481.0,36.8,15044.0,1.16,72.0,3.1,929.0,24808.0,0.7,0.1,0.61,0.09,0.1,01.08
pz,Jordan White,Australia,VERTEX,6988.0,29.7,6198.0,1.13,75.7,5.3,374.0,9785.0,0.71,0.11,0.63,0.1,0.1,1.12
slaxz-,Fritz Dietrich,Germany,Sprout,14845.0,29.6,13025.0,1.14,72.8,3.0,776.0,20938.0,0.71,0.1,0.62,0.09,0.09,1.11
hAdji,Ali Haïnouss,France,LDLC,21158.0,49.0,18994.0,1.11,79.9,4.1,1094.0,28828.0,0.73,0.13,0.66,0.1,0.12,01.07
Rickeh,Ricardo Mulholland,Australia,ORDER,17401.0,37.6,15076.0,1.15,77.3,5.2,938.0,24573.0,0.71,0.13,0.61,0.08,0.09,01.07
hallzerk,Håkon Fjærli,Norway,Dignitas,13236.0,34.6,11919.0,1.11,74.4,3.0,672.0,18198.0,0.73,0.1,0.65,0.09,0.11,1.11
dycha,Paweł Dycha,Poland,ENCE,13538.0,54.2,12392.0,01.09,81.6,4.6,688.0,18439.0,0.73,0.14,0.67,0.09,0.09,1.13
dapr,Michael Gulino,United States,No team,11313.0,44.1,10311.0,1.1,80.8,6.4,594.0,15426.0,0.73,0.15,0.67,0.1,0.11,1.13
YEKINDAR,Mareks Gaļinskis,Latvia,Virtus.pro,20695.0,59.3,19307.0,01.07,82.8,3.8,1042.0,27679.0,0.75,0.13,0.7,0.09,0.09,1.14
InfrequeNt,Jesse Barker,Australia,No team,8755.0,33.9,7811.0,1.12,76.4,4.2,467.0,12046.0,0.73,0.12,0.65,0.09,0.1,01.07
NikoM,Nicolas Miozzi,Argentina,No team,8674.0,46.1,7815.0,1.11,80.0,4.5,462.0,11840.0,0.73,0.15,0.66,0.1,0.11,01.07
CRUC1AL,Joey Steusel,Netherlands,Endpoint,25766.0,29.1,23094.0,1.12,73.8,2.6,1360.0,35642.0,0.72,0.1,0.65,0.1,0.11,01.07
jks,Justin Savage,Australia,Complexity,21540.0,52.9,19207.0,1.12,77.7,5.4,1169.0,30513.0,0.71,0.13,0.63,0.09,0.11,01.07
Ryxxo,Thomas Nielsen,Denmark,Los Reyes,15006.0,32.9,13291.0,1.13,75.7,6.1,802.0,21039.0,0.71,0.12,0.63,0.09,0.1,01.07
hardzao,Wesley Lopes,Brazil,paiN,10762.0,47.1,9415.0,1.14,75.1,4.5,583.0,15304.0,0.7,0.12,0.62,0.1,0.1,1.11
smike,Sergey Sklyarenko,Ukraine,spray'n'pray,9299.0,33.1,8644.0,01.08,75.6,1.4,480.0,12461.0,0.75,0.1,0.69,0.09,0.08,01.07
NikkeZ,Nikhil Victor,Australia,CAMO,7426.0,46.7,6839.0,01.09,83.0,4.4,383.0,9886.0,0.75,0.15,0.69,0.09,0.1,01.07
Liazz,Jay Tregillgas,Australia,EXTREMUM,16875.0,45.9,14914.0,1.13,78.3,4.6,933.0,24103.0,0.7,0.15,0.62,0.1,0.11,01.07
fejtZ,Kristjan Allsaar,Estonia,No team,14344.0,46.0,13022.0,1.1,77.1,3.6,733.0,19457.0,0.74,0.12,0.67,0.1,0.13,01.07
EspiranTo,Rokas Milasauskas,Lithuania,MANS NOT HOT,16721.0,59.9,15386.0,01.09,77.3,3.2,856.0,22434.0,0.75,0.11,0.69,0.1,0.1,1.11
xand,Alexandre Zizi,Brazil,No team,9681.0,50.2,8806.0,1.1,80.4,4.7,515.0,13210.0,0.73,0.14,0.67,0.1,0.1,01.07
paz,Ahmet Karahoca,Turkey,No team,20217.0,51.2,18219.0,1.11,76.2,2.4,1068.0,27990.0,0.72,0.12,0.65,0.1,0.1,01.07
nicoodoz,Nico Tamjidi,Denmark,Copenhagen Flames,11457.0,31.3,10014.0,1.14,71.1,3.0,599.0,16234.0,0.71,0.08,0.62,0.09,0.1,01.09
QKA,ZhiHai Fu,China,Let's Quit,7642.0,40.3,6935.0,1.1,75.9,1.6,399.0,10332.0,0.74,0.1,0.67,0.08,0.09,1.1
fame,Petr Bolyshev,Russia,K23,7831.0,57.9,7118.0,1.1,78.9,3.2,398.0,10631.0,0.74,0.11,0.67,0.08,0.11,1.12
boltz,Ricardo Prass,Brazil,Last Dance,22696.0,39.5,20182.0,1.12,82.2,8.8,1220.0,31742.0,0.72,0.17,0.64,0.08,0.09,01.07
iDISBALANCE,Artem Egorov,Russia,Nemiga,15312.0,26.9,13433.0,1.14,73.8,2.5,812.0,21519.0,0.71,0.1,0.62,0.09,0.09,1.12
anarkez,Guy Trachtman,Israel,Finest,11268.0,30.6,10152.0,1.11,73.2,2.4,586.0,15638.0,0.72,0.09,0.65,0.09,0.08,1.11
Brollan,Ludvig Brolin,Sweden,fnatic,18043.0,52.5,16570.0,01.09,78.9,4.6,930.0,24734.0,0.73,0.13,0.67,0.09,0.1,1.12
HObbit,Abay Khasenov,Kazakhstan,Gambit,21166.0,46.6,19040.0,1.11,80.2,5.6,1105.0,29158.0,0.73,0.15,0.65,0.08,0.09,01.07
WorldEdit,Georgi Yaskin,Russia,No team,25226.0,28.0,22750.0,1.11,75.0,2.6,1328.0,34716.0,0.73,0.12,0.66,0.08,0.08,01.07
shz,Bruno Martinelli,Brazil,MIBR,14620.0,51.2,13158.0,1.11,77.2,3.2,785.0,20350.0,0.72,0.13,0.65,0.1,0.11,1.1
somebody,HaoWen Xu,China,TYLOO,23702.0,45.8,21561.0,1.1,79.9,3.5,1253.0,32437.0,0.73,0.13,0.66,0.1,0.09,01.07
shroud,Mike Grzesiek,Canada,No team,12588.0,52.9,11277.0,1.12,76.1,3.9,676.0,17460.0,0.72,0.14,0.65,0.09,0.11,01.07
Pimp,Jacob Winneche,Denmark,No team,18116.0,46.6,16100.0,1.13,78.3,3.9,976.0,25052.0,0.72,0.14,0.64,0.1,0.11,01.07
FalleN,Gabriel Toledo,Brazil,Last Dance,27203.0,30.8,23674.0,1.15,71.8,3.5,1499.0,39201.0,0.69,0.11,0.6,0.08,0.08,01.07
DD,Hui Wu,China,No team,17323.0,41.9,15796.0,1.1,81.5,3.1,910.0,23543.0,0.74,0.16,0.67,0.11,0.1,01.07
b4rtiN,Bruno Câmara,Brazil,GODSENT,8717.0,55.7,7843.0,1.11,75.5,3.7,465.0,12215.0,0.71,0.12,0.64,0.1,0.11,1.11
zhokiNg,WeiJie Zhong,China,ViCi,22786.0,50.9,21316.0,01.07,84.0,3.8,1185.0,30249.0,0.75,0.17,0.7,0.12,0.1,01.06
ofnu,Chris Hanley,New Zealand,No team,15793.0,48.9,14413.0,1.1,79.7,5.2,852.0,21778.0,0.73,0.15,0.66,0.1,0.1,01.06
AnJ,Allan Jensen,Denmark,LPSP,7530.0,50.7,6767.0,1.11,77.2,3.8,403.0,10503.0,0.72,0.12,0.64,0.09,0.12,01.06
Ethan,Ethan Arnold,United States,No team,18853.0,49.4,17365.0,01.09,81.4,4.3,986.0,25998.0,0.73,0.15,0.67,0.11,0.11,1.14
tucks,Tyler Reilly,Australia,No team,12457.0,44.0,11176.0,1.11,76.3,4.0,689.0,17415.0,0.72,0.13,0.64,0.09,0.09,01.06
snatchie,Michał Rudzki,Poland,Wisla Krakow,28050.0,29.3,25856.0,01.08,72.3,1.6,1447.0,38872.0,0.72,0.09,0.67,0.08,0.09,01.06
Valiance,Matthew Hartrick,Australia,ORDER,10840.0,52.2,9829.0,1.1,76.3,3.6,596.0,15395.0,0.7,0.14,0.64,0.1,0.11,1.1
Happy,Vincent Schopenhauer,France,No team,28022.0,41.2,25277.0,1.11,77.5,2.7,1464.0,37933.0,0.74,0.12,0.67,0.06,0.07,01.06
acoR,Frederik Gyldstrand,Denmark,MOUZ,19475.0,38.1,17493.0,1.11,73.2,3.7,1057.0,27637.0,0.7,0.1,0.63,0.09,0.1,01.06
